,EOS
1146,534.0
1147,534.0
1148,498.0
1149,349.0
1150,349.0
1151,349.0
1152,529.0
1153,497.0
1154,495.0
1155,498.0
1156,
1157,489.0
1158,
1159,521.0
1160,521.0
1161,529.0
1162,
1163,521.0
1164,529.0
1165,352.0
1166,496.0
1167,529.0
1168,529.0
1169,529.0
1170,529.0
1171,529.0
1172,334.0
1173,485.0
1174,337.0
1175,335.0
1176,529.0
1177,335.0
1178,
1179,342.0
1180,566.0
1181,566.0
1182,566.0
1183,499.0
1184,
1185,388.0
1186,388.0
1187,499.0
1188,499.0
1189,342.0
1190,498.0
1191,342.0
1192,
1193,403.0
1194,389.0
1195,368.0
1196,381.0
1197,332.0
1198,336.0
1199,
1200,495.0
1201,367.0
1202,
1203,
1204,499.0
1205,473.0
1206,230.0
1207,223.0
1208,197.0
1209,223.0
1210,153.0
1211,236.0
1212,223.0
1213,243.0
1214,196.0
1215,194.0
1216,245.0
1217,321.0
1218,335.0
1219,228.0
1220,179.0
1221,300.0
1222,306.0
1223,301.0
1224,290.0
1225,261.0
1226,232.0
1227,260.0
1228,262.0
1229,243.0
1230,244.0
1231,224.0
1232,225.0
1233,370.0
1234,244.0
1235,223.0
1236,180.0
1237,221.0
1238,264.0
1239,181.0
1240,241.0
1241,300.0
1242,198.0
1243,228.0
1244,232.0
1245,352.0
1246,401.0
1247,290.0
1248,198.0
1249,270.0
1250,391.0
1251,238.0
1252,155.0
1253,245.0
1254,170.0
1255,242.0
1256,407.0
1257,390.0
1258,270.0
1259,361.0
1260,195.0
1261,225.0
1262,220.0
1263,211.0
1264,204.0
1265,319.0
1266,364.0
1267,349.0
1268,224.0
1269,
1270,195.0
1271,260.0
1272,175.0
1273,244.0
1274,226.0
1275,180.0
1276,179.0
1277,220.0
1278,179.0
1279,189.0
1280,320.0
1281,101.0
1282,220.0
1283,230.0
1284,481.0
1285,225.0
1286,235.0
1287,300.0
1288,243.0
1289,271.0
1290,402.0
1291,262.0
1292,276.0
1293,260.0
1294,235.0
1295,271.0
1296,411.0
1297,270.0
1298,218.0
1299,251.0
1300,410.0
1301,622.0
1302,367.0
1303,288.0
1304,313.0
1305,401.0
1306,385.0
1307,349.0
1308,476.0
1309,476.0
1310,319.0
1311,476.0
1312,391.0
1313,377.0
1314,217.0
1315,260.0
1316,308.0
1317,226.0
1318,280.0
1319,390.0
1320,226.0
1321,487.0
1322,524.0
1323,510.0
1324,336.0
1325,578.0
1326,509.0
1327,491.0
1328,250.0
1329,343.0
1330,400.0
1331,349.0
1332,308.0
1333,331.0
1334,351.0
1335,
1336,318.0
1337,397.0
1338,270.0
1339,271.0
1340,463.0
1341,462.0
1342,465.0
1343,395.0
1344,300.0
1345,253.0
1346,285.0
1347,444.0
1348,192.0
